[2023-12-03 17:22:55,197: INFO: main: welcome to our custom log]
[2024-01-07 19:49:43,000: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-01-07 19:49:43,001: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-07 19:52:41,450: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-01-07 19:52:41,453: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-07 19:52:41,454: INFO: common: created directory at: artifacts]
[2024-01-07 19:52:41,456: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-07 19:52:41,457: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1o09llkLvfXRipQTztWiTfZD20M4bxLoU/view?usp=share_link into file artifacts/data_ingestion/data.zip]
[2024-01-07 19:52:48,892: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1o09llkLvfXRipQTztWiTfZD20M4bxLoU/view?usp=share_link into file artifacts/data_ingestion/data.zip]
[2024-01-14 11:25:23,634: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-01-14 11:25:23,636: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-14 11:25:23,638: INFO: common: created directory at: artifacts]
[2024-01-14 11:25:23,639: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-01-14 11:25:29,450: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-01-14 11:25:29,496: WARNING: optimizer: At this time, the v2.11+ optimizer `tf.keras.optimizers.SGD` runs slowly on M1/M2 Macs, please use the legacy Keras optimizer instead, located at `tf.keras.optimizers.legacy.SGD`.]
[2024-01-14 11:25:29,498: WARNING: __init__: There is a known slowdown when using v2.11+ Keras optimizers on M1/M2 Macs. Falling back to the legacy Keras optimizer, i.e., `tf.keras.optimizers.legacy.SGD`.]
[2024-01-14 14:18:59,774: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-01-14 14:18:59,776: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-14 14:18:59,777: INFO: common: created directory at: artifacts]
[2024-01-14 14:18:59,778: INFO: common: created directory at: artifacts/prepare_callbacks/checkpoint_dir]
[2024-01-14 14:18:59,778: INFO: common: created directory at: artifacts/prepare_callbacks/tensorboard_log_dir]
[2024-01-14 14:20:22,420: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-01-14 14:20:22,423: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-14 14:20:22,424: INFO: common: created directory at: artifacts]
[2024-01-14 14:20:22,425: INFO: common: created directory at: artifacts/prepare_callbacks/checkpoint_dir]
[2024-01-14 14:20:22,425: INFO: common: created directory at: artifacts/prepare_callbacks/tensorboard_log_dir]
[2024-01-14 14:22:23,251: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-01-14 14:22:23,253: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-14 14:22:23,254: INFO: common: created directory at: artifacts]
[2024-01-14 14:22:23,255: INFO: common: created directory at: artifacts/prepare_callbacks/checkpoint_dir]
[2024-01-14 14:22:23,255: INFO: common: created directory at: artifacts/prepare_callbacks/tensorboard_log_dir]
